"match_id","season.season_name"
9592,"2017/2018"
9870,"2017/2018"
9783,"2017/2018"
9609,"2017/2018"
9700,"2017/2018"
9860,"2017/2018"
9695,"2017/2018"
9794,"2017/2018"
9717,"2017/2018"
9620,"2017/2018"
9673,"2017/2018"
9650,"2017/2018"
9799,"2017/2018"
9827,"2017/2018"
9837,"2017/2018"
9912,"2017/2018"
9924,"2017/2018"
9880,"2017/2018"
9811,"2017/2018"
9636,"2017/2018"
9642,"2017/2018"
9774,"2017/2018"
9602,"2017/2018"
9948,"2017/2018"
9581,"2017/2018"
9742,"2017/2018"
9855,"2017/2018"
9682,"2017/2018"
9661,"2017/2018"
9726,"2017/2018"
9754,"2017/2018"
9575,"2017/2018"
9765,"2017/2018"
9889,"2017/2018"
9928,"2017/2018"
9736,"2017/2018"
267212,"2016/2017"
266669,"2016/2017"
266892,"2016/2017"
267220,"2016/2017"
266989,"2016/2017"
267670,"2016/2017"
266516,"2016/2017"
266357,"2016/2017"
267039,"2016/2017"
267058,"2016/2017"
266477,"2016/2017"
267101,"2016/2017"
266440,"2016/2017"
266033,"2016/2017"
267660,"2016/2017"
266273,"2016/2017"
267395,"2016/2017"
266874,"2016/2017"
266731,"2016/2017"
266528,"2016/2017"
266280,"2016/2017"
267432,"2016/2017"
267076,"2016/2017"
267590,"2016/2017"
267373,"2016/2017"
267077,"2016/2017"
266952,"2016/2017"
267464,"2016/2017"
266299,"2016/2017"
266191,"2016/2017"
265952,"2016/2017"
267492,"2016/2017"
267596,"2016/2017"
267569,"2016/2017"
69243,"2009/2010"
69241,"2009/2010"
69257,"2009/2010"
69253,"2009/2010"
69244,"2009/2010"
69239,"2009/2010"
69277,"2009/2010"
69229,"2009/2010"
69219,"2009/2010"
69218,"2009/2010"
69250,"2009/2010"
69242,"2009/2010"
69256,"2009/2010"
69298,"2009/2010"
69221,"2009/2010"
69259,"2009/2010"
69224,"2009/2010"
69210,"2009/2010"
69220,"2009/2010"
69237,"2009/2010"
69226,"2009/2010"
69252,"2009/2010"
69255,"2009/2010"
69214,"2009/2010"
69262,"2009/2010"
69240,"2009/2010"
69233,"2009/2010"
69213,"2009/2010"
69238,"2009/2010"
69267,"2009/2010"
69288,"2009/2010"
69254,"2009/2010"
69292,"2009/2010"
69227,"2009/2010"
69247,"2009/2010"
69304,"2010/2011"
69307,"2010/2011"
69276,"2010/2011"
69271,"2010/2011"
69305,"2010/2011"
69278,"2010/2011"
69275,"2010/2011"
69306,"2010/2011"
69248,"2010/2011"
69295,"2010/2011"
69270,"2010/2011"
69303,"2010/2011"
69245,"2010/2011"
69287,"2010/2011"
69296,"2010/2011"
69260,"2010/2011"
69269,"2010/2011"
69246,"2010/2011"
69302,"2010/2011"
69282,"2010/2011"
69274,"2010/2011"
69283,"2010/2011"
69280,"2010/2011"
69286,"2010/2011"
69291,"2010/2011"
69236,"2010/2011"
69234,"2010/2011"
69299,"2010/2011"
69272,"2010/2011"
69308,"2010/2011"
69300,"2010/2011"
69289,"2010/2011"
69263,"2010/2011"
70219,"2011/2012"
69331,"2011/2012"
69337,"2011/2012"
69322,"2011/2012"
69316,"2011/2012"
69332,"2011/2012"
69335,"2011/2012"
69330,"2011/2012"
69297,"2011/2012"
69325,"2011/2012"
69324,"2011/2012"
70225,"2011/2012"
69293,"2011/2012"
70223,"2011/2012"
69333,"2011/2012"
69264,"2011/2012"
69343,"2011/2012"
69340,"2011/2012"
69328,"2011/2012"
69265,"2011/2012"
69319,"2011/2012"
69334,"2011/2012"
69327,"2011/2012"
69315,"2011/2012"
69336,"2011/2012"
69326,"2011/2012"
69268,"2011/2012"
69320,"2011/2012"
69312,"2011/2012"
69314,"2011/2012"
69318,"2011/2012"
69329,"2011/2012"
69338,"2011/2012"
70220,"2011/2012"
70224,"2011/2012"
70221,"2011/2012"
69323,"2011/2012"
266015,"2012/2013"
70270,"2012/2013"
70281,"2012/2013"
70308,"2012/2013"
70282,"2012/2013"
266724,"2012/2013"
70271,"2012/2013"
70294,"2012/2013"
70272,"2012/2013"
70262,"2012/2013"
70304,"2012/2013"
70280,"2012/2013"
70296,"2012/2013"
70297,"2012/2013"
266433,"2012/2013"
70256,"2012/2013"
70259,"2012/2013"
70260,"2012/2013"
70263,"2012/2013"
70276,"2012/2013"
70287,"2012/2013"
70284,"2012/2013"
70292,"2012/2013"
70275,"2012/2013"
70286,"2012/2013"
70309,"2012/2013"
70300,"2012/2013"
70295,"2012/2013"
70307,"2012/2013"
70305,"2012/2013"
266827,"2012/2013"
267502,"2012/2013"
267368,"2013/2014"
70301,"2013/2014"
70298,"2013/2014"
70302,"2013/2014"
70291,"2013/2014"
267138,"2013/2014"
267520,"2013/2014"
70289,"2013/2014"
266066,"2013/2014"
267675,"2013/2014"
70288,"2013/2014"
266074,"2013/2014"
267567,"2013/2014"
266201,"2013/2014"
266274,"2013/2014"
70293,"2013/2014"
265918,"2013/2014"
70277,"2013/2014"
70283,"2013/2014"
70306,"2013/2014"
266256,"2013/2014"
266613,"2013/2014"
266491,"2013/2014"
265830,"2013/2014"
265857,"2013/2014"
266883,"2013/2014"
266420,"2013/2014"
266603,"2013/2014"
265837,"2013/2014"
266462,"2013/2014"
267192,"2013/2014"
266117,"2014/2015"
266916,"2014/2015"
267183,"2014/2015"
267197,"2014/2015"
266770,"2014/2015"
265963,"2014/2015"
70264,"2014/2015"
70273,"2014/2015"
267301,"2014/2015"
265896,"2014/2015"
265866,"2014/2015"
267400,"2014/2015"
266142,"2014/2015"
266406,"2014/2015"
267085,"2014/2015"
267561,"2014/2015"
266148,"2014/2015"
266045,"2014/2015"
70303,"2014/2015"
266240,"2014/2015"
267597,"2014/2015"
265835,"2014/2015"
266838,"2014/2015"
266794,"2014/2015"
267343,"2014/2015"
266631,"2014/2015"
266320,"2014/2015"
266230,"2014/2015"
266525,"2014/2015"
266560,"2014/2015"
266846,"2014/2015"
266531,"2014/2015"
266921,"2014/2015"
267499,"2014/2015"
266741,"2014/2015"
266871,"2014/2015"
266967,"2014/2015"
266929,"2014/2015"
267533,"2015/2016"
266310,"2015/2016"
266498,"2015/2016"
267576,"2015/2016"
266653,"2015/2016"
265944,"2015/2016"
265894,"2015/2016"
265958,"2015/2016"
267611,"2015/2016"
267422,"2015/2016"
266236,"2015/2016"
267274,"2015/2016"
266961,"2015/2016"
266885,"2015/2016"
266815,"2015/2016"
267506,"2015/2016"
266664,"2015/2016"
266106,"2015/2016"
266670,"2015/2016"
266149,"2015/2016"
266620,"2015/2016"
266056,"2015/2016"
267327,"2015/2016"
266166,"2015/2016"
266160,"2015/2016"
266986,"2015/2016"
266424,"2015/2016"
265839,"2015/2016"
266467,"2015/2016"
267273,"2015/2016"
266490,"2015/2016"
266557,"2015/2016"
266254,"2015/2016"
68314,"2004/2005"
68313,"2004/2005"
68316,"2004/2005"
68315,"2004/2005"
69153,"2004/2005"
68352,"2004/2005"
68353,"2004/2005"
68324,"2005/2006"
68320,"2005/2006"
68323,"2005/2006"
69164,"2005/2006"
69172,"2005/2006"
68339,"2005/2006"
68348,"2005/2006"
68354,"2005/2006"
68351,"2005/2006"
68317,"2005/2006"
68350,"2005/2006"
68325,"2005/2006"
68321,"2005/2006"
68319,"2005/2006"
68342,"2005/2006"
68322,"2005/2006"
68318,"2005/2006"
69176,"2006/2007"
69179,"2006/2007"
68334,"2006/2007"
68333,"2006/2007"
68336,"2006/2007"
68326,"2006/2007"
68327,"2006/2007"
69162,"2006/2007"
69157,"2006/2007"
68335,"2006/2007"
68330,"2006/2007"
68332,"2006/2007"
68329,"2006/2007"
68341,"2006/2007"
69165,"2006/2007"
69155,"2006/2007"
69154,"2006/2007"
69156,"2006/2007"
69159,"2006/2007"
69175,"2006/2007"
69160,"2006/2007"
68331,"2006/2007"
68328,"2006/2007"
68340,"2006/2007"
69174,"2006/2007"
68347,"2006/2007"
16157,"2018/2019"
16136,"2018/2019"
16215,"2018/2019"
16248,"2018/2019"
16056,"2018/2019"
16289,"2018/2019"
16079,"2018/2019"
16149,"2018/2019"
16275,"2018/2019"
15973,"2018/2019"
16317,"2018/2019"
16131,"2018/2019"
16109,"2018/2019"
16205,"2018/2019"
16095,"2018/2019"
16306,"2018/2019"
16010,"2018/2019"
15986,"2018/2019"
16240,"2018/2019"
15978,"2018/2019"
16173,"2018/2019"
16023,"2018/2019"
16265,"2018/2019"
16196,"2018/2019"
15956,"2018/2019"
15946,"2018/2019"
16231,"2018/2019"
15998,"2018/2019"
16029,"2018/2019"
16073,"2018/2019"
16086,"2018/2019"
16120,"2018/2019"
16182,"2018/2019"
16190,"2018/2019"
69144,"2007/2008"
69151,"2007/2008"
69169,"2007/2008"
68360,"2007/2008"
69186,"2007/2008"
69180,"2007/2008"
69143,"2007/2008"
69181,"2007/2008"
68365,"2007/2008"
69178,"2007/2008"
68364,"2007/2008"
69170,"2007/2008"
68359,"2007/2008"
68356,"2007/2008"
69158,"2007/2008"
69187,"2007/2008"
68363,"2007/2008"
69166,"2007/2008"
68366,"2007/2008"
69148,"2007/2008"
69145,"2007/2008"
69184,"2007/2008"
69173,"2007/2008"
69146,"2007/2008"
69182,"2007/2008"
68358,"2007/2008"
68361,"2007/2008"
69141,"2007/2008"
69225,"2008/2009"
69212,"2008/2009"
69235,"2008/2009"
69232,"2008/2009"
69216,"2008/2009"
69209,"2008/2009"
69231,"2008/2009"
69217,"2008/2009"
69273,"2008/2009"
69223,"2008/2009"
69222,"2008/2009"
69195,"2008/2009"
69251,"2008/2009"
69185,"2008/2009"
69142,"2008/2009"
69139,"2008/2009"
69189,"2008/2009"
69171,"2008/2009"
69249,"2008/2009"
69215,"2008/2009"
69138,"2008/2009"
69147,"2008/2009"
69149,"2008/2009"
69177,"2008/2009"
69207,"2008/2009"
69228,"2008/2009"
69183,"2008/2009"
69279,"2008/2009"
69285,"2008/2009"
69230,"2008/2009"
69211,"2008/2009"
303421,"2019/2020"
303493,"2019/2020"
303516,"2019/2020"
303680,"2019/2020"
303532,"2019/2020"
303400,"2019/2020"
303634,"2019/2020"
303479,"2019/2020"
303615,"2019/2020"
303696,"2019/2020"
303664,"2019/2020"
303596,"2019/2020"
303487,"2019/2020"
303600,"2019/2020"
303548,"2019/2020"
303473,"2019/2020"
303610,"2019/2020"
303652,"2019/2020"
303430,"2019/2020"
303674,"2019/2020"
303470,"2019/2020"
303700,"2019/2020"
303707,"2019/2020"
303666,"2019/2020"
303725,"2019/2020"
303504,"2019/2020"
303715,"2019/2020"
303377,"2019/2020"
303524,"2019/2020"
303451,"2019/2020"
303517,"2019/2020"
303682,"2019/2020"
303731,"2019/2020"
